Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298498988450,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298498590445,00000712,false,Rx,0,8,03,22,18,05,FF,FF,FF,FF,
-1773298497999417,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298497403388,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298497004413,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298496603335,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298496216494,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298495820466,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298495429457,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298495011459,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298494633447,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298494248875,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298493845360,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298493456353,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298493069298,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298492655323,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298492253371,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298491849351,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298491450352,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298491050327,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298490647196,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298490264212,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298489874064,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298489474128,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298489074193,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298488681258,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298488285306,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298487898284,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298487513213,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298487117407,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298486741266,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298486349293,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298485944172,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298485548272,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298485163235,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298484770232,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298484403224,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298484018243,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298483634152,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298483268222,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298482866213,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298482480070,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298482091192,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298481678169,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298481290283,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298480890260,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298480505264,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298480111363,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298479725357,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298479338442,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298478935433,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298478546410,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298478160543,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298477764420,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298477369628,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298476981610,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298476581609,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298476201715,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298475806702,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298475416679,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298475011740,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298474606772,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298474201893,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298473809878,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298473405801,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298473029975,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298472624862,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298472234925,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298471851973,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298471437023,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298471061933,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298470636098,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
-1773298470246022,00000712,false,Rx,0,8,03,22,18,16,FF,FF,FF,FF,
