Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298500127038,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298499725632,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298499716931,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298499260745,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298499251938,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298498843749,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298498836938,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298498426618,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298498416832,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298498012641,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298498001832,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298497570520,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298497561731,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298497136533,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298497126729,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298496635326,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298496626613,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298496233402,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298496226626,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298495816406,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298495806622,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298495398303,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298495391528,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298494991138,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298494981525,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298494594183,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298494586416,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298494166194,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298494156402,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298493707079,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298493696312,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298493291984,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298493281309,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298492870047,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
